,APA,BKR,CEIX,CHNR,CME,COP,CTRA,CVX,DVN,EOG,EQT,FANG,FTI,HAL,HES,HP,KMI,MPC,MRO,MXC,NOV,OKE,OXY,PSX,SLB,STT,TRGP,VLO,VNT,WMB,WT,XOM
2023-02-04,1.4737597105706388,1.003936514249827,,0.12642571295748933,0.12267524454301681,1.1508057696666238,0.9695993155337327,0.8983242568739556,1.3455850672477547,1.1453317963680785,1.0305289730383342,1.1544526022685344,,1.3163656005734077,1.22550291227804,,0.6270617268573937,0.9490081767362218,1.3383701071555894,,,0.7969348266031058,1.1646866705911976,0.931073596336945,1.1729017303816553,0.44275493308799224,0.9696362083283355,1.1048197352367504,,0.6536062761805858,,0.9274204775624825
2023-02-05,1.4737597105706388,1.003936514249827,,0.12642571295748933,0.12267524454301681,1.1508057696666238,0.9695993155337327,0.8983242568739556,1.3455850672477547,1.1453317963680785,1.0305289730383342,1.1544526022685344,,1.3163656005734077,1.22550291227804,,0.6270617268573937,0.9490081767362218,1.3383701071555894,,,0.7969348266031058,1.1646866705911976,0.931073596336945,1.1729017303816553,0.44275493308799224,0.9696362083283355,1.1048197352367504,,0.6536062761805858,,0.9274204775624825
2023-02-06,1.4737597105706388,1.003936514249827,,0.12642571295748933,0.12267524454301681,1.1508057696666238,0.9695993155337327,0.8983242568739556,1.3455850672477547,1.1453317963680785,1.0305289730383342,1.1544526022685344,,1.3163656005734077,1.22550291227804,,0.6270617268573937,0.9490081767362218,1.3383701071555894,,,0.7969348266031058,1.1646866705911976,0.931073596336945,1.1729017303816553,0.44275493308799224,0.9696362083283355,1.1048197352367504,,0.6536062761805858,,0.9274204775624825
2023-02-07,1.4728025149378432,1.0020306408400397,,0.11522206566561845,0.1240272946783117,1.150774817333256,0.971470327512664,0.8975362771657093,1.346286222907333,1.1454509005310796,1.035493442302595,1.1549844748248856,,1.3165604008955727,1.2250125953717261,,0.6275225816995804,0.9507065266359747,1.3387227254764125,,,0.7972768284107501,1.163072543204383,0.9315116378787838,1.171016071197361,0.44330453304515743,0.970776587810979,1.1081974434391133,,0.6548510533314236,,0.9271697240957779
2023-02-08,1.4663678012504573,0.9968905915603361,,0.13322294564565204,0.13536309342176453,1.1552895506822645,0.962224828129552,0.8952543326315828,1.339268698815678,1.1413475790281682,1.0285580387700464,1.163090180532538,,1.2963511562487073,1.2278273664436823,,0.6157501152398652,0.9658696225390921,1.3380115962361092,,,0.7861227189687635,1.1732777080689858,0.9420111826788121,1.1551753452716846,0.44757945794314696,0.9681745585723205,1.1196189908751841,,0.648328323101654,,0.9252114593040193
2023-02-09,1.4723813886064845,0.9943022885902,,0.15311552384129468,0.12046276764329958,1.155284186776076,0.9607200486953515,0.8993533773172451,1.3396133298263349,1.1367089042873344,1.0328175024084896,1.15886255772919,,1.291614300167536,1.2259767196301048,,0.6151055918425706,0.9652613313607061,1.337294735944784,,,0.7857065031172457,1.1731120833338735,0.9385342753771813,1.1485654407348693,0.4444004444805887,0.9638439064801891,1.1178593332615872,,0.6491438768329078,,0.9255359817761695
2023-02-10,1.4755110594014615,0.9954220943265035,,0.12985927867004585,0.1264803283077653,1.1545634221092402,0.9559849892314997,0.8996405281638876,1.3407505829611144,1.1371153227182278,1.0238682250198305,1.1613048418604672,,1.2995075461983414,1.2271390347683397,,0.6169570638041278,0.9651037444917379,1.3387051889390595,,,0.7870406572278527,1.17333808082391,0.9380656573729741,1.1504194052021086,0.44687078002657926,0.96450344472253,1.118412463403149,,0.6515379905228591,,0.9227239952489299
2023-02-11,1.4795610332407525,0.9788500771175529,,0.17615611156957064,0.12785108892051922,1.1566148824020746,0.9490792723432666,0.8859514296248839,1.3428834739012663,1.1475092210938738,1.0245297137287734,1.171167380706986,,1.2847934705921435,1.2211525409445871,,0.6136501655453761,0.9763154126102475,1.3488993592652874,,,0.7776273151092667,1.1664450788604095,0.9525968039025404,1.1510929033166877,0.4282311821154646,0.9584074236739737,1.1349766171789786,,0.6427646984163212,,0.9277630974934532
2023-02-12,1.4795610332407525,0.9788500771175529,,0.17615611156957064,0.12785108892051922,1.1566148824020746,0.9490792723432666,0.8859514296248839,1.3428834739012663,1.1475092210938738,1.0245297137287734,1.171167380706986,,1.2847934705921435,1.2211525409445871,,0.6136501655453761,0.9763154126102475,1.3488993592652874,,,0.7776273151092667,1.1664450788604095,0.9525968039025404,1.1510929033166877,0.4282311821154646,0.9584074236739737,1.1349766171789786,,0.6427646984163212,,0.9277630974934532
2023-02-13,1.4795610332407525,0.9788500771175529,,0.17615611156957064,0.12785108892051922,1.1566148824020746,0.9490792723432666,0.8859514296248839,1.3428834739012663,1.1475092210938738,1.0245297137287734,1.171167380706986,,1.2847934705921435,1.2211525409445871,,0.6136501655453761,0.9763154126102475,1.3488993592652874,,,0.7776273151092667,1.1664450788604095,0.9525968039025404,1.1510929033166877,0.4282311821154646,0.9584074236739737,1.1349766171789786,,0.6427646984163212,,0.9277630974934532
2023-02-14,1.4816039079749377,0.9791047101014311,,0.16826148524393594,0.1272013355368753,1.1582802767991933,0.9489363140607854,0.8862454010851806,1.342397512111258,1.1478613225250582,1.0266711798260475,1.17158210288572,,1.2837873432674167,1.2205506909979396,,0.6132890309339366,0.9753248884282214,1.3500454496030263,,,0.7767898537875333,1.1674569254011036,0.9515158292654463,1.1491428742766399,0.42667327338781297,0.9583254035430925,1.134678710288543,,0.6425512966568789,,0.928019841142342
2023-02-15,1.4816178861446363,0.9794072643081287,,0.16876534434249274,0.12702843515650497,1.1579579765999986,0.9482999537917991,0.8860231202128971,1.3422171874925646,1.1478997523316017,1.0264060332677893,1.1712766878599319,,1.2840252701489014,1.2203858081165924,,0.6134107621999267,0.9751830625897612,1.3501075243396952,,,0.7768638905336283,1.1667620488682677,0.9516155258654174,1.1494302884690903,0.42686724605457654,0.9581279211291074,1.134731480207183,,0.6424402263576945,,0.9283839675218671
2023-02-16,1.4821937331087023,0.9762224798993021,,0.15172959680399106,0.12115091400420488,1.1561992928284646,0.9519219165452752,0.8836093419385762,1.381724128689294,1.155129840443753,1.0238911173216108,1.1752880402578667,,1.286034871848114,1.2170011113836134,,0.6113944252790465,0.9706691095549493,1.358047385738343,,,0.7713795933319233,1.1821215112118935,0.9497643109078232,1.1476012649434135,0.4215079292452485,0.9548954687939086,1.137242074056674,,0.6340758111043915,,0.9225525095616772
