,AEE,AEP,AES,ATO,AWK,CEG,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EVRG,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SM,SO,SRE,STT,WEC,XEL
2022-03-31,0.9932429126735679,0.9533743205075021,0.760401622739038,0.9461762340799225,1.0436892583554327,,0.9785175576479382,0.9459894284419922,1.0219136609985398,0.8821089819222302,0.9489159680296977,0.9315566413240823,0.8881110850512671,1.1177069713349237,1.0903545591226522,0.9814526426759931,0.8978187579003987,0.877289207224512,1.0666719117014112,1.2363558992493366,0.8616135243995034,0.7585049690380814,,0.9115062320084396,1.0428477663528293,0.7131254690651602,-0.02528449501805255,0.9862181490602405,,0.340564016964477,1.049614040573669,1.00121042291184
2022-04-01,0.9931244885996273,0.9523098987000183,0.7574735042892398,0.9479737904959096,1.043649327158115,,0.9784549281021123,0.947028149905791,1.0229899976784758,0.882640691225941,0.9482549162388604,0.9316204458625208,0.885640626980106,1.1184934993860323,1.0906511878878147,0.9808158624729563,0.8957689049600505,0.8768884629812517,1.0679206136892478,1.2381836189409794,0.8600789363519479,0.7558018154288911,,0.9110554475063571,1.0411681508356354,0.7140498437050055,-0.013666861779184263,0.9859513491128732,,0.3527461958988446,1.0504639402799996,1.0013970119492666
2022-04-02,0.9891536816947423,0.9575384349159376,0.7687315703242161,0.9509055356873404,1.0525456563777593,,0.982395847199758,0.9510613350549006,1.0255007860019856,0.893701223417403,0.9442042792819784,0.9335291208261134,0.8863649394291845,1.1239183339083225,1.1094948535071942,0.9767720246192602,0.8772251486200362,0.8810459848584807,1.065675399456539,1.231615700284809,0.8542959839499494,0.743657732361868,,0.9143181769917762,1.042897905739308,0.7232971005097109,0.053746915344843244,0.9974858547446896,,0.32541459991681243,1.0489227551884104,0.9934836579076812
2022-04-03,0.9891536816947423,0.9575384349159376,0.7687315703242161,0.9509055356873404,1.0525456563777593,,0.982395847199758,0.9510613350549006,1.0255007860019856,0.893701223417403,0.9442042792819784,0.9335291208261134,0.8863649394291845,1.1239183339083225,1.1094948535071942,0.9767720246192602,0.8772251486200362,0.8810459848584807,1.065675399456539,1.231615700284809,0.8542959839499494,0.743657732361868,,0.9143181769917762,1.042897905739308,0.7232971005097109,0.053746915344843244,0.9974858547446896,,0.32541459991681243,1.0489227551884104,0.9934836579076812
2022-04-04,0.9891536816947423,0.9575384349159376,0.7687315703242161,0.9509055356873404,1.0525456563777593,,0.982395847199758,0.9510613350549006,1.0255007860019856,0.893701223417403,0.9442042792819784,0.9335291208261134,0.8863649394291845,1.1239183339083225,1.1094948535071942,0.9767720246192602,0.8772251486200362,0.8810459848584807,1.065675399456539,1.231615700284809,0.8542959839499494,0.743657732361868,,0.9143181769917762,1.042897905739308,0.7232971005097109,0.053746915344843244,0.9974858547446896,,0.32541459991681243,1.0489227551884104,0.9934836579076812
2022-04-05,0.9857559849630896,0.959056143910097,0.7656114937434186,0.9625633616854582,1.0588130674919387,,0.9821423168336954,0.9513630838642101,1.0288636101696114,0.8969571643752166,0.946081912795757,0.9339531464359913,0.8834953839377492,1.1225452654458812,1.1066432118672866,0.9782294570217036,0.878491216983619,0.8810017291014064,1.066602139426113,1.2225019215401076,0.859790932310697,0.7559230263878047,,0.9181787141309882,1.0409373041604082,0.7282615414735213,0.0670800446592295,1.0034685979468976,,0.32208162720588973,1.0468682260092166,0.9863068947277176
2022-04-06,0.9855690947069548,0.9591328830985488,0.7580090431292372,0.9637681814369514,1.060312141248054,,0.9827442722438084,0.9495437437651383,1.0301532248635084,0.8963454770934134,0.9464107327784759,0.9343669548322822,0.8761164022156922,1.1250937752894772,1.1116122814899805,0.980345234786718,0.8801075879777535,0.8814924582138035,1.0683139282576306,1.223238700316152,0.85878290977116,0.753127346383917,,0.9170871434992595,1.0350651694131954,0.7262008117288701,0.0398057900266783,1.009220048184224,,0.31780572177999483,1.0502498297331093,0.9858276555141989
2022-04-07,0.9925201411696007,0.9828995603803106,0.6917726651806642,0.954464426178249,1.036178342327799,,1.012236395061953,0.9584161408318786,1.0299882980111743,0.9092953716040079,0.9554673378465123,0.9425023059385631,0.8759723841949152,1.1296812627303228,1.1049428828215808,0.9861543574443,0.9222931348130068,0.9002559934923111,1.085863669317406,1.179721952659859,0.8606332567767416,0.8097573042158666,,0.9236074278010247,1.04503196264788,0.7457271144384828,0.012861610603383273,1.0266129293352755,,0.26861962181812704,1.053017366647047,0.9996151296487037
2022-04-08,0.992929151673506,0.9866856464555548,0.6953031918342303,0.9579007836595539,1.0291398674612335,,1.0182940399192772,0.9543764204532993,1.0297370750374655,0.9125307223257794,0.9555541892494315,0.9455078504069997,0.880341476073151,1.1286956333130438,1.1059245680398864,0.9851825422943571,0.9192658054514509,0.9036862970006475,1.090081315907154,1.1751547630301002,0.864718586018524,0.8103949182114792,,0.9254573373046368,1.0524531410337017,0.7485443146793492,-0.0029303702894910052,1.0298858785103087,,0.26666833503334353,1.0524506881580704,1.0008829505502033
2022-04-09,0.9928087935717537,0.985118424567037,0.6914558728582562,0.9585968018022973,1.0270171249352038,,1.0179845509033503,0.9567233202486487,1.0307520666310483,0.9133803193126209,0.9557623531778235,0.9454433484472539,0.8834127549668241,1.1289214214176182,1.1056894033438436,0.986109632249661,0.9187401513878266,0.9028453443690839,1.0909899738796984,1.1720677860763054,0.8635527445436114,0.8127592038556312,,0.92620964576765,1.0516755903710606,0.7479772881738831,-0.002412603388687817,1.0311328479774913,,0.2671551411651311,1.0531310645955956,1.000921404338903
2022-04-10,0.9928087935717537,0.985118424567037,0.6914558728582562,0.9585968018022973,1.0270171249352038,,1.0179845509033503,0.9567233202486487,1.0307520666310483,0.9133803193126209,0.9557623531778235,0.9454433484472539,0.8834127549668241,1.1289214214176182,1.1056894033438436,0.986109632249661,0.9187401513878266,0.9028453443690839,1.0909899738796984,1.1720677860763054,0.8635527445436114,0.8127592038556312,,0.92620964576765,1.0516755903710606,0.7479772881738831,-0.002412603388687817,1.0311328479774913,,0.2671551411651311,1.0531310645955956,1.000921404338903
2022-04-11,0.9928087935717537,0.985118424567037,0.6914558728582562,0.9585968018022973,1.0270171249352038,,1.0179845509033503,0.9567233202486487,1.0307520666310483,0.9133803193126209,0.9557623531778235,0.9454433484472539,0.8834127549668241,1.1289214214176182,1.1056894033438436,0.986109632249661,0.9187401513878266,0.9028453443690839,1.0909899738796984,1.1720677860763054,0.8635527445436114,0.8127592038556312,,0.92620964576765,1.0516755903710606,0.7479772881738831,-0.002412603388687817,1.0311328479774913,,0.2671551411651311,1.0531310645955956,1.000921404338903
2022-04-12,0.9805894132644466,0.9889012067127357,0.6849354444635548,0.9541991210240145,1.0087907758884849,,1.001492014517428,0.9497366141675458,1.0236271579799452,0.8995215004063567,0.9504066947343649,0.9473464601433599,0.8905870273438297,1.115937794231731,1.1013714217156545,0.976027715629607,0.9623775910232756,0.9041106392177451,1.0779750406206727,1.1731319020146267,0.8535354759881586,0.8351333899355511,,0.9137947476449506,1.0405802403132456,0.7416007162533464,0.06249315477302434,1.0515792749430317,,0.2882304901254344,1.042303159576562,0.9882965383418274
2022-04-13,0.9803072433930384,0.990242728825454,0.6816033919954547,0.9523464172844037,1.0068810078471078,,1.002623107794505,0.9486880200726764,1.0221449926560013,0.9004165538851684,0.9522352882411564,0.9495693081769994,0.8937156196684841,1.1180781505295554,1.1036130701266955,0.9780145266594684,0.9599703966372402,0.9045038314841088,1.0781012107723216,1.1699254017796616,0.8543278860506826,0.8368560732041669,,0.9135254948598264,1.0396582908826162,0.7402119482766037,0.0752660594199776,1.0543317897330573,,0.2866093366593394,1.043223868937951,0.9886570703238151
2022-04-14,0.9815164040642731,0.9898691733325943,0.6807156366039178,0.952752212667409,1.008861313314507,,1.0066535807977592,0.9475020616715507,1.0222352931050247,0.9032030640950542,0.952592044648491,0.9487895661102412,0.890319564133937,1.1184029053821927,1.1026996894947674,0.9811439214962333,0.9552006551877064,0.9039430459942582,1.0831183600881609,1.1701882280069078,0.8588828572838638,0.8368779789576325,,0.9147954160598551,1.0429249045045912,0.7376990756304977,0.06779142304044221,1.0545347560751301,,0.28340730813662973,1.0466750236537052,0.9896667895322859
2022-04-15,0.9815645209078844,0.990123929778186,0.6809390029899407,0.9529536840113858,1.0093395930373434,,1.0071340323061062,0.9474018184833933,1.0220695549141852,0.9029411998384094,0.9528458123387513,0.94878526867435,0.8911602470438929,1.1183281580158162,1.1021805291298747,0.9809202700294111,0.9546549984598187,0.9036011117482982,1.0834086392337214,1.1709226108293447,0.8587843515511409,0.8358977510144532,,0.9133237971807944,1.0427054151385253,0.7369986398713758,0.069661001203057,1.0538763316545956,,0.2907502359294595,1.0467149792818164,0.9897353250783221
2022-04-16,0.9815645209078844,0.990123929778186,0.6809390029899407,0.9529536840113858,1.0093395930373434,,1.0071340323061062,0.9474018184833933,1.0220695549141852,0.9029411998384094,0.9528458123387513,0.94878526867435,0.8911602470438929,1.1183281580158162,1.1021805291298747,0.9809202700294111,0.9546549984598187,0.9036011117482982,1.0834086392337214,1.1709226108293447,0.8587843515511409,0.8358977510144532,,0.9133237971807944,1.0427054151385253,0.7369986398713758,0.069661001203057,1.0538763316545956,,0.2907502359294595,1.0467149792818164,0.9897353250783221
2022-04-17,0.9815645209078844,0.990123929778186,0.6809390029899407,0.9529536840113858,1.0093395930373434,,1.0071340323061062,0.9474018184833933,1.0220695549141852,0.9029411998384094,0.9528458123387513,0.94878526867435,0.8911602470438929,1.1183281580158162,1.1021805291298747,0.9809202700294111,0.9546549984598187,0.9036011117482982,1.0834086392337214,1.1709226108293447,0.8587843515511409,0.8358977510144532,,0.9133237971807944,1.0427054151385253,0.7369986398713758,0.069661001203057,1.0538763316545956,,0.2907502359294595,1.0467149792818164,0.9897353250783221
2022-04-18,0.9815645209078844,0.990123929778186,0.6809390029899407,0.9529536840113858,1.0093395930373434,,1.0071340323061062,0.9474018184833933,1.0220695549141852,0.9029411998384094,0.9528458123387513,0.94878526867435,0.8911602470438929,1.1183281580158162,1.1021805291298747,0.9809202700294111,0.9546549984598187,0.9036011117482982,1.0834086392337214,1.1709226108293447,0.8587843515511409,0.8358977510144532,,0.9133237971807944,1.0427054151385253,0.7369986398713758,0.069661001203057,1.0538763316545956,,0.2907502359294595,1.0467149792818164,0.9897353250783221
2022-04-19,0.9789469841138487,0.9891548275700363,0.6875031472284565,0.9503204290640881,1.0212785808580793,,1.0042629577820015,0.946980476034668,1.0228218276872436,0.8996709859080885,0.9530702993776016,0.9538721817951015,0.8888923416093584,1.1209910123779765,1.0964689675146455,0.9763672068876829,0.9487307272770189,0.9022378938046195,1.0867606563464558,1.1753018447639851,0.8560308313303732,0.8197249306510427,,0.913654436327088,1.0420195339141642,0.7332056504483473,0.08220952178029269,1.0514423044082015,,0.3024063894135558,1.0448849840938346,0.9870406624287054
2022-04-20,0.9784789133186308,0.9896506187256535,0.692960840773622,0.9513864599201952,1.025157073721478,,1.0075668629422865,0.9408225241550481,1.019864711838263,0.8984819252977958,0.9505343198816607,0.9563401502119466,0.8856436088943579,1.1223565005397247,1.092580787024514,0.9747168842544742,0.9475027002516969,0.9009618082207937,1.0939307519612025,1.17237244568049,0.8529000263103461,0.8150794674841497,,0.9153052699066305,1.0435096513167312,0.7429740797095592,0.06828532696501674,1.0506302742837004,,0.3066152494955969,1.0506577821333145,0.9884265438882623
2022-04-21,0.9874631382006795,0.9861508266468277,0.7044185456027673,0.9583891094185852,1.034617641740277,,1.0089169091405172,0.9483254118216129,1.0136345351168683,0.9000024344885796,0.9509816338774284,0.9528774524610508,0.889832616665243,1.1220164113251803,1.0935069113558142,0.9851085525384697,0.9522134223114883,0.9104248409243499,1.1022644384204143,1.162867013623677,0.8550937441616532,0.8409552622760771,,0.9268539480651709,1.0386203934606288,0.747279418329596,0.06854802450733134,1.0460449437168007,,0.31651709522021393,1.0506054023375588,0.9875290996051954
2022-04-22,0.9695228702197838,0.9680929593775833,0.8322861450937505,0.9528785974846895,1.0252840051711956,,0.981613008359085,0.9485490207952347,0.9901201857305157,0.8835568388706847,0.9225332986332128,0.927445486287465,0.8628461980566817,1.0876568039811234,1.0662508490362663,0.9666395741652107,0.9439894316780736,0.8961636733737959,1.0857371620055916,1.2516729787956227,0.8722114488979059,0.8864163926585563,,0.8989425715477337,1.0051324273314617,0.7093869930138806,0.19008311615575868,1.013357003218637,,0.3374443251133521,1.0092490639817218,0.9562801089689508
2022-04-23,0.9568920058412111,0.9728549780922634,0.8470781527584337,0.9624361986744989,1.0029544241589772,,0.9790483645155839,0.9450727370748045,0.9950444970253062,0.876627805017728,0.9097672003412971,0.9324700555060098,0.8652133721104281,1.0745689775243648,1.063172059533176,0.9567557187160819,0.9586556970567761,0.9539333582291333,1.0901032518138731,1.2638378676976976,0.8769539909324152,0.9458945756867356,,0.8913596853278014,0.9862507827661803,0.717175227901186,0.30751559590704586,0.9952084111883859,,0.4194620086712937,1.0093820796754636,0.9510659158236591
2022-04-24,0.9568920058412111,0.9728549780922634,0.8470781527584337,0.9624361986744989,1.0029544241589772,,0.9790483645155839,0.9450727370748045,0.9950444970253062,0.876627805017728,0.9097672003412971,0.9324700555060098,0.8652133721104281,1.0745689775243648,1.063172059533176,0.9567557187160819,0.9586556970567761,0.9539333582291333,1.0901032518138731,1.2638378676976976,0.8769539909324152,0.9458945756867356,,0.8913596853278014,0.9862507827661803,0.717175227901186,0.30751559590704586,0.9952084111883859,,0.4194620086712937,1.0093820796754636,0.9510659158236591
2022-04-25,0.9568920058412111,0.9728549780922634,0.8470781527584337,0.9624361986744989,1.0029544241589772,,0.9790483645155839,0.9450727370748045,0.9950444970253062,0.876627805017728,0.9097672003412971,0.9324700555060098,0.8652133721104281,1.0745689775243648,1.063172059533176,0.9567557187160819,0.9586556970567761,0.9539333582291333,1.0901032518138731,1.2638378676976976,0.8769539909324152,0.9458945756867356,,0.8913596853278014,0.9862507827661803,0.717175227901186,0.30751559590704586,0.9952084111883859,,0.4194620086712937,1.0093820796754636,0.9510659158236591
2022-04-26,0.9600539657396724,0.9653791624476394,0.8567086450503639,0.9644680723477179,1.0139634567443256,,0.9875178635855072,0.9424174178640532,0.9925135882165014,0.8790101129925809,0.9085499844792762,0.9316110425161862,0.8649292574070359,1.0802565064970882,1.0649623930098424,0.9660727993068511,0.9521557309219841,0.9593768856094729,1.0977477749724598,1.2536787521009067,0.8802557935652432,0.9463056604376195,,0.9010117375976452,0.9863162825715444,0.7167528204158026,0.31665267266545055,1.0004628154715909,,0.41399905052678276,1.0124159300403517,0.9525083572828573
2022-04-27,0.9613884328001772,0.9693285918062949,0.8847334573830661,0.9601995871133066,1.0195415900355953,,0.9796237538138202,0.9494236830254644,0.9945885144571883,0.8796611844098282,0.9010135282629418,0.9325145604720747,0.8727799296019983,1.0797895710807761,1.0681590413465158,0.9694668348624299,0.9511158733618852,0.9605409608745684,1.0927895178186966,1.2440534651944386,0.8850556634674538,0.9446553284442417,,0.9134411314721376,0.995555499086855,0.7286158600179861,0.35185294818088036,1.008652856125071,,0.45999752380390546,1.0038159724472555,0.9464954698623353
2022-04-28,0.9625593064709117,0.9650104078607732,0.8880705996023661,0.9628949016606622,1.023699067322735,,0.9784464469791618,0.9463864843069911,0.9930664394435916,0.8781855165043877,0.90085576356194,0.9330515007514709,0.8690801371026415,1.0779207583457153,1.0652147223973094,0.9669831757183953,0.9571571764252892,0.9612732952130473,1.097452567239602,1.2418118849021702,0.884542419805009,0.9529029940233249,,0.9179392396072971,1.0005663144680867,0.7337347485895644,0.34052384981924205,1.0081469217093724,,0.46475360036021635,1.0042422750586246,0.9472491919468568
2022-04-29,0.9635160928296588,0.9853528811884883,0.8839027368204921,0.9574092040390889,1.044333924352312,,0.976314067388472,0.9373585446547724,0.9871280144196338,0.875986031075099,0.8960501913191911,0.9287933058335421,0.863532932369579,1.0732480611833282,1.066611930099996,0.9632357253709347,0.9565193113947005,0.9485287375274463,1.0996674238470021,1.2314679098722636,0.8798724422016996,0.9604152458425923,,0.9172064919392943,0.9897476076998819,0.7340222072036964,0.3669906977972223,1.0273576918251663,,0.49589369779198345,0.9989037462922723,0.9648424194064249
2022-04-30,0.9578958319353367,0.9964506843702748,0.8881866771197667,0.9605144406310293,1.0716194766388996,,0.9820446648867077,0.9346787149264312,0.9778757598554139,0.8990303177410901,0.9131280083770025,0.9326783798441766,0.8733511375124992,1.0690978007170722,1.0571656672352279,0.9578514926202049,0.9719291650827502,0.9605311266864873,1.1190415627671302,1.2157139964201822,0.8961728497337313,0.9440801631500321,,0.8981939661557226,1.0000103319566165,0.7536039120751447,0.3758106795008731,1.023863183184322,,0.5256911445409196,0.9892116482417976,0.9435610150809159
2022-05-01,0.9578958319353367,0.9964506843702748,0.8881866771197667,0.9605144406310293,1.0716194766388996,,0.9820446648867077,0.9346787149264312,0.9778757598554139,0.8990303177410901,0.9131280083770025,0.9326783798441766,0.8733511375124992,1.0690978007170722,1.0571656672352279,0.9578514926202049,0.9719291650827502,0.9605311266864873,1.1190415627671302,1.2157139964201822,0.8961728497337313,0.9440801631500321,,0.8981939661557226,1.0000103319566165,0.7536039120751447,0.3758106795008731,1.023863183184322,,0.5256911445409196,0.9892116482417976,0.9435610150809159
2022-05-02,0.9578958319353367,0.9964506843702748,0.8881866771197667,0.9605144406310293,1.0716194766388996,,0.9820446648867077,0.9346787149264312,0.9778757598554139,0.8990303177410901,0.9131280083770025,0.9326783798441766,0.8733511375124992,1.0690978007170722,1.0571656672352279,0.9578514926202049,0.9719291650827502,0.9605311266864873,1.1190415627671302,1.2157139964201822,0.8961728497337313,0.9440801631500321,,0.8981939661557226,1.0000103319566165,0.7536039120751447,0.3758106795008731,1.023863183184322,,0.5256911445409196,0.9892116482417976,0.9435610150809159
2022-05-03,0.9581184316635063,0.9968203213099638,0.8672843539431533,0.9659730310835873,1.0952341447094713,,0.9854866436689299,0.9389348416848781,0.9748889392939125,0.9085830204965271,0.9176636978529109,0.9317056841638759,0.87813841404707,1.072064770290257,1.0534453682424594,0.9596611279855078,0.9656695302156434,0.959467371298207,1.1238554281672166,1.2177945107315933,0.9010232325216616,0.9046997707592295,,0.9012346941327792,0.9879578959895114,0.7526823950611925,0.4031864713801483,1.0159785431850046,,0.4912758576013113,0.98204476097826,0.9422848657823968
2022-05-04,0.9583163524427722,0.9968582214854832,0.8686486712610054,0.967191935680995,1.0960706245564118,,0.9824700616604006,0.9411120236194028,0.9743498466301326,0.909560404962455,0.9152405454853292,0.9312103446419747,0.8793867413314848,1.072913398974306,1.0503234240048547,0.9598928113216789,0.9641893965798546,0.9597017884658063,1.122193429104973,1.2212525079799708,0.9025219158545943,0.9061407723942854,,0.8981178088933817,0.9915593833583147,0.7524895930757145,0.4325388243386824,1.0139262912063984,,0.4982257198352471,0.980024802273816,0.9382750632629691
2022-05-05,0.9452381335170016,0.9943028243595244,0.953580328489017,0.9713099183852898,1.0876402117011053,,0.9779714171414684,0.9503943146352961,0.9615719378850232,0.8841375270228982,0.913537293455979,0.9134722695829255,0.8966644985166451,1.0678647658736042,1.0384969203494374,0.9566381408062858,0.9715952156659341,0.9385864960728754,1.121800201402332,1.2360727582555904,0.9111681425478328,0.9301163915903282,,0.8787650215180102,1.0038731844607127,0.7715854819416043,0.5271969528950985,1.006505993364912,,0.5659467642298615,0.9756949438422529,0.9305220421881231
2022-05-06,0.9421937277082465,0.995367598332581,0.970659033183093,0.9638086836879043,1.1031837186122553,,0.9814871887100142,0.954530620375849,0.9443841941796391,0.89059190431332,0.9082971716929235,0.9138251864776308,0.9108116193220217,1.041189948411188,1.030949926916324,0.9533633272333754,0.9850256883382233,0.9477210871499224,1.1154470207571519,1.2386230809586014,0.9145135015841616,0.934580623065388,,0.8752851523347869,1.0130561616814693,0.766429456735003,0.5768882999277715,1.0035572285255365,,0.580215516603423,0.970507555638216,0.9295425963136936
2022-05-07,0.9318511400763573,0.989079143794603,0.9526146397547155,0.9569502378910719,1.1010510834111271,,0.9786261777867059,0.9434833368062953,0.9473930810573935,0.8899984433734933,0.9112366191475408,0.9183923915506358,0.9207747860634224,1.039842963349743,1.0305772315768202,0.9458211664719832,0.9809136729067475,0.9455721619507523,1.1078092111550526,1.2390480542318902,0.9134586875615037,1.0005514587097097,,0.8757479860282146,1.020560815485102,0.7728869484559745,0.5921537677620589,1.0032412504133041,,0.567204942738281,0.9617445765662668,0.9268578149193601
2022-05-08,0.9318511400763573,0.989079143794603,0.9526146397547155,0.9569502378910719,1.1010510834111271,,0.9786261777867059,0.9434833368062953,0.9473930810573935,0.8899984433734933,0.9112366191475408,0.9183923915506358,0.9207747860634224,1.039842963349743,1.0305772315768202,0.9458211664719832,0.9809136729067475,0.9455721619507523,1.1078092111550526,1.2390480542318902,0.9134586875615037,1.0005514587097097,,0.8757479860282146,1.020560815485102,0.7728869484559745,0.5921537677620589,1.0032412504133041,,0.567204942738281,0.9617445765662668,0.9268578149193601
2022-05-09,0.9318511400763573,0.989079143794603,0.9526146397547155,0.9569502378910719,1.1010510834111271,,0.9786261777867059,0.9434833368062953,0.9473930810573935,0.8899984433734933,0.9112366191475408,0.9183923915506358,0.9207747860634224,1.039842963349743,1.0305772315768202,0.9458211664719832,0.9809136729067475,0.9455721619507523,1.1078092111550526,1.2390480542318902,0.9134586875615037,1.0005514587097097,,0.8757479860282146,1.020560815485102,0.7728869484559745,0.5921537677620589,1.0032412504133041,,0.567204942738281,0.9617445765662668,0.9268578149193601
